0.00s  Lección
141.62s  vez
141.74s  que
142.14s  cedes
142.36s  en
142.60s  lo
142.66s  que
142.92s  dijiste
143.00s  que
143.26s  no
143.54s  ibas
143.76s  a
144.08s  ceder
144.24s  el
144.40s  sistema
144.80s  relacional
145.40s  aprende
145.74s  que
145.92s  tus
146.10s  declaraciones
146.76s  no
147.62s  tienen
147.82s  consecuencias
148.34s  reales
148.96s  Y
149.50s  entonces
149.66s  tus
149.96s  palabras
150.26s  pierden
150.84s  peso
151.28s  Lo
152.28s  que
152.42s  vas
152.66s  a
152.92s  ganar
153.02s  al
153.24s  trabajar
153.38s  esta
153.66s  dimensión
153.94s  es
154.32s  esto
155.60s  Recuperas
155.92s  autoridad
156.52s  interna
158.02s  Tus
158.06s  estándares
158.68s  dejan
159.14s  de
159.38s  ser
159.44s  declaraciones
159.94s  vacías
160.34s  y
160.52s  se
160.90s  convierten
161.38s  en
162.16s  límites
162.16s  reales
162.98s  que
163.46s  en
163.64s  tus
163.78s  relaciones
164.40s  necesitas
165.94s  hacer
166.44s  respetar
168.32s  Ahorras
168.44s  energía
168.76s  emocional
170.22s  Cuando
170.40s  tus
170.70s  límites
175.28s  Repito
176.86s  ahorras
176.90s  energía
177.22s  emocional
178.42s  Cuando
178.58s  tus
179.02s  límites
179.02s  se
179.34s  están
179.40s  definiendo
181.28s  Repito
181.44s  ahorras
181.44s  energía
181.44s  emocional
181.44s  Cuando
181.54s  tus
181.54s  límites
181.54s  se
181.54s  están
181.54s  definiendo
181.54s  Cuando
181.54s  tus
181.54s  límites
181.54s  se
181.56s  están
181.56s  definiendo
181.56s  Repito
181.62s  ahorras
181.62s  energía
181.62s  emocional
181.62s  Cuando
181.62s  tus
181.66s  límites
181.66s  se
181.66s  están
181.66s  definiendo
181.64s  Cuando
181.64s  tus
181.64s  límites
181.64s  se
181.64s  están
181.64s  definiendo
